"Quarter","Personal savings as % of disposable income 1955-1979"
"1955Q1",4.9
"1955Q2",5.2
"1955Q3",5.7
"1955Q4",5.7
"1956Q1",6.2
"1956Q2",6.7
"1956Q3",6.9
"1956Q4",7.1
"1957Q1",6.6
"1957Q2",7.0
"1957Q3",6.9
"1957Q4",6.4
"1958Q1",6.6
"1958Q2",6.4
"1958Q3",7.0
"1958Q4",7.3
"1959Q1",6.0
"1959Q2",6.3
"1959Q3",4.8
"1959Q4",5.3
"1960Q1",5.4
"1960Q2",4.7
"1960Q3",4.9
"1960Q4",4.4
"1961Q1",5.1
"1961Q2",5.3
"1961Q3",6.0
"1961Q4",5.9
"1962Q1",5.9
"1962Q2",5.6
"1962Q3",5.3
"1962Q4",4.5
"1963Q1",4.7
"1963Q2",4.6
"1963Q3",4.3
"1963Q4",5.0
"1964Q1",5.2
"1964Q2",6.2
"1964Q3",5.8
"1964Q4",6.7
"1965Q1",5.7
"1965Q2",6.1
"1965Q3",7.2
"1965Q4",6.5
"1966Q1",6.1
"1966Q2",6.3
"1966Q3",6.4
"1966Q4",7.0
"1967Q1",7.6
"1967Q2",7.2
"1967Q3",7.5
"1967Q4",7.0
"1968Q1",7.6
"1968Q2",7.2
"1968Q3",7.5
"1968Q4",7.8
"1969Q1",7.2
"1969Q2",7.5
"1969Q3",5.6
"1969Q4",5.7
"1970Q1",4.9
"1970Q2",5.1
"1970Q3",6.2
"1970Q4",6.0
"1971Q1",6.1
"1971Q2",7.5
"1971Q3",7.8
"1971Q4",8.0
"1972Q1",8.0
"1972Q2",8.1
"1972Q3",7.6
"1972Q4",7.1
"1973Q1",6.6
"1973Q2",5.6
"1973Q3",5.9
"1973Q4",6.6
"1974Q1",6.8
"1974Q2",7.8
"1974Q3",7.9
"1974Q4",8.7
"1975Q1",7.7
"1975Q2",7.3
"1975Q3",6.7
"1975Q4",7.5
"1976Q1",6.4
"1976Q2",9.7
"1976Q3",7.5
"1976Q4",7.1
"1977Q1",6.4
"1977Q2",6.0
"1977Q3",5.7
"1977Q4",5.0
"1978Q1",4.2
"1978Q2",5.1
"1978Q3",5.4
"1978Q4",5.1
"1979Q1",5.3
"1979Q2",5.0
"1979Q3",4.8
"1979Q4",4.7
"1980Q1",5.0
"1980Q2",5.4
"1980Q3",4.3
"1980Q4",3.5

Personal savings as % of disposable income 1955-1979

